index,date,hour,minute_bin,wspd_mps_2d,wspd_mph_2d,wdr_cos_2d,wdr_sin_2d,temp_C_2d,temp_F_2d,wdr_2d,wspd_mps_3d,wspd_mph_3d,wdr_cos_3d,wdr_sin_3d,welv,temp_C_3d,temp_F_3d,wdr_3d,wspd_mps_diff,wspd_mph_diff,wdr_diff,temp_C_diff,temp_F_diff,wdr_3d_by10,wspd_mps_3d_by1,wspd_mph_3d_by1,temp_F_3d_by1,wdr_3d_corr
0,2024-02-10,21,"[30, 45)",1.0560006286586716,2.3622100462717293,-0.5768816824150587,-0.816591008532294,-10.186153846153845,13.664923076923078,234.76066013782818,0.7426003232588291,1.6611523671106054,-0.30666623039282126,-0.9484604389002017,-2.265,-10.415000000000001,13.253,252.08239543656154,0.31340030539984254,0.7010576791611238,-17.32173529873336,0.22884615384615614,0.4119230769230775,250.0,1.0,2.0,13.0,252.08239543656154
1,2024-02-10,21,"[45, 60)",1.4728520606631255,3.2946816885797716,-0.5928241125797289,-0.8045139493293191,-10.194888888888888,13.6492,233.61452378645947,1.1633456446603159,2.6023344063664475,-0.2885926340265588,-0.9539141173260798,-3.3495,-10.613111111111111,12.8964,253.16758433474197,0.3095064160028096,0.6923472822133241,-19.553060548282502,0.41822222222222294,0.7528000000000006,250.0,1.0,3.0,13.0,253.16758433474197
2,2024-02-10,22,"[0, 15)",1.2006149202945142,2.685703539803611,-0.4056389225135307,-0.6747869148961307,-10.139111111111111,13.7496,238.9883951754722,0.8991661613188145,2.011380752900509,-0.043613058217280155,-0.4322022659783279,-0.6081666666666666,-10.915999999999999,12.351199999999999,264.23785059616756,0.30144875897569967,0.6743227869031019,-25.24945542069537,0.7768888888888874,1.3984000000000005,260.0,1.0,2.0,12.0,264.23785059616756
3,2024-02-10,22,"[15, 30)",0.27201038108083153,0.6084709018549554,0.10662872834090628,-0.36413386931171376,-10.593444444444444,12.9318,286.321528009646,0.32615870965394145,0.7295974639732878,-0.18325361102240292,-0.002691800900607565,-0.9578333333333333,-12.374666666666666,9.7256,180.8415536211295,-0.054148328573109916,-0.12112656211833239,105.4799743885165,1.7812222222222225,3.206200000000001,180.0,0.0,1.0,10.0,180.8415536211295
4,2024-02-10,22,"[30, 45)",0.35253512890068245,0.7885999312430927,-0.7848541290572999,-0.5066588950055596,-10.923333333333334,12.337999999999997,212.84407478809845,0.43472507555312323,0.9724539105078035,-0.8583828455398067,-0.06212074523128911,-4.2139444444444445,-11.923944444444444,10.5369,184.13925127674833,-0.08218994665244078,-0.1838539792647108,28.704823511350128,1.0006111111111107,1.8010999999999981,180.0,0.0,1.0,11.0,184.13925127674833
5,2024-02-10,22,"[45, 60)",0.41552382401069127,0.9295018628824757,-0.2746985934854077,-0.515197805560223,-11.061666666666666,12.089,241.9338833180076,0.3729834216016604,0.8343415351176182,-0.01672624642752949,0.4198560544274971,0.6281111111111112,-12.447777777777777,9.594,92.28134574568797,0.04254040240903084,0.0951603277648575,149.6525375723196,1.386111111111111,2.495000000000001,90.0,0.0,1.0,10.0,92.28134574568797
6,2024-02-10,23,"[0, 15)",0.7581319346141977,1.6958956498158835,0.932828117148765,0.2991282165877152,-11.531333333333333,11.2436,17.779388313025954,0.8605816677817314,1.9250695559276667,0.9772905456123979,0.13152868770405451,4.691222222222222,-12.316555555555556,9.8302,7.6650966124189095,-0.1024497331675337,-0.22917390611178323,10.114291700607044,0.7852222222222238,1.413400000000001,10.0,1.0,2.0,10.0,7.6650966124189095
7,2024-02-10,23,"[15, 30)",0.48131245466754535,1.076667082344019,0.6579069988716754,-0.3287665324783915,-11.337988826815643,11.591620111731844,333.447976360569,0.5092057501876265,1.1390627108247093,0.6198526718052976,-0.3829619818643957,1.4763333333333333,-11.790944444444444,10.776299999999999,328.2910903153546,-0.02789329552008113,-0.06239562848069036,5.156886045214378,0.45295561762880077,0.8153201117318449,330.0,1.0,1.0,11.0,328.2910903153546
8,2024-02-10,23,"[30, 45)",0.6873326412752655,1.5375218785742923,0.7795799878287146,-0.5876992752349658,-11.209666666666667,11.822599999999998,322.9885816493568,0.7802826178353942,1.7454453991407066,0.724147111793187,-0.5993320256334667,-0.35377777777777775,-12.343444444444446,9.7818,320.3875337302089,-0.09294997656012871,-0.20792352056641428,2.601047919147902,1.1337777777777784,2.0407999999999973,320.0,1.0,2.0,10.0,320.3875337302089
9,2024-02-10,23,"[45, 60)",0.5790756065404031,1.2953573872944895,0.833780733413222,-0.5090648872750015,-10.985082872928176,12.226850828729281,328.5938447804782,0.7488580891875614,1.6751506140272237,0.6934429388783363,-0.6515546330963022,-1.5348888888888887,-11.185777777777778,11.8656,316.78383045301683,-0.16978248264715823,-0.3797932267327342,11.810014327461374,0.20069490484960184,0.3612508287292808,320.0,1.0,2.0,12.0,316.78383045301683
10,2024-02-11,0,"[0, 15)",0.36309203419651426,0.8122150949755506,0.7746100636940025,-0.5535906404933051,-10.329666666666666,13.406599999999997,324.44774215992294,0.5776624591736967,1.2921962614240095,0.5767696050225445,-0.7560519063199888,-0.8165555555555555,-10.855277777777777,12.4605,307.3389372869299,-0.21457042497718248,-0.4799811664484589,17.108804872993062,0.525611111111111,0.9460999999999977,310.0,1.0,1.0,12.0,307.3389372869299
